ID	year of publication	Title	Author	Published in	Country 	Main method	Extracted from	Environment
225	1967	Notes on macrochelids associated with manure and coprid beetles in Israel. II. Three new species of the Macrocheles pisentii complex, with notes on their biology.	Costa, M	Acarologia 9:304–329	Israel		in de Azevedo et al. 2015 pp. 110	Agroecosystem
233	2021	Oribatid mite communities in mountain scree: stable isotopes (15N, 13C) reveal three trophic levels of exclusively sexual species	Nae, I - Nae, A. Scheu, S - Maraun, M.	Experimental and Applied Acarology (2021) 83:375–386	Romania	Isotopes	in Fig 2	Rocks
238	1988	Algunas observaciones sobre el comportamiento de los ácaros opilioacáridos (Acarida: Notostigmata)	Vásquez, M. M. - Palacios - Vargas, J. G.	Rev. Nica. Ent. 6: 1 - 6	Nicaragua	Observación de comportamiento	in Results	Forest
240	2004	Food selection and internal processing in Archegozetes longisetosus	Smrz, J. - Norton, R. A.	Pedobiologia. 48: 111 - 120		Preference assay in the laboratory	in Metodology	Laboratory
242	2010	Struktura společenstva půdních roztočů a potravní biologie dominantních druhů v lokalitě Rendez‐Vous (Valtice)	Režňáková, R.	Univerzita Karlova v Praze - Přírodovědecká fakulta - katedra zoologie	Czech Republic	Gut content	in pp. 56	
243	2013	Trophic ecology of mesostigmatan and oribatid mites in harvested and control coniferous and deciduous stands of the boreal mixedwood forest determined using 15N stable isotopes	Díaz-Aguilar, I. Quideau, S. .	Soil Biology & Biochemistry 67: 147 - 154	Canada	Nitrogen isotope study	in discussion	
244	2003	Functional role of Collembola in successional coastal temperate forest on Vancouver island, Canada	Addison, J.A. - Trofymow, J. A. - Marshall, V. G.	Applied Soil Ecology 24: 247- 261	Canada	Gut content	in table 2	
245	1998	Feeding preferences of collembolan Onychiurus sinensis for fungi colonizing holm oak litter (Quercus rotundifolia Lam.)	Sadaka-Laulan, N. - Ponge, JF. - Roquebert, MF. - Bury, E. Boumezzough, A.	Eur. J. Soil Biol. 34(4): 179- 188	Morocco	feeding preference	in Metodology	
246	2005	Species assemblages and diets of Collembola in the organic matter accumulated over an old tar deposit	Gillet, S. - Ponge, J. F.	European Journal of Soil Biology 41: 39-44	France	Gut content	in Fig 1	
247	1988	Arthropod predation in an antarctic terrestrial community	Lister, A. - Block, W. - Usher, M. B.	Journal of Animal Ecology 57: 957 - 971	Antarctica	Electroforesis analysis	in Metodology	
248	1966	Biological investigations on a new species of Ceratozetes and of Pergalumna (Acarina: Cryptostigmata)	Rockett, C. L. - Woodring J. P.	Acarologia, 8(3), 511-520.	United States	Feeding behavior assays in the laboratory	in seccion Nutrition	
249	1972	Observations on oribatid mites in laboratory cultures	Shereef G. M.	Acarologia 38(4): 357 - 360		Feeding behavior assays in the laboratory		
250	1998	Biological aspects and feeding behaviour of the predacious soil mite Nanteria hyotrichus (Uropodina: Uropodidae)	El-Banhawy, E. M. - El-Borolossy, M. A. - El-Sawaf, B. M. - Afia, S. I.	Acarologia 14(2): 281-292	Egypt	Laborary assay feeding behaviour		
251	2007	Predation in suspended and forest floor soils: observations on australian mesostigmatic mites	Beaulieu, F. - Walter, D. E.	Acarologia 67:43 -54	Australia	Laborary assay feeding behaviour	in Table 1	Forest
252	1993	The diet and food preferences of Onychiurus procampatus (Collembola) from upland grassland soils	Bardgett, R. D. - Whittaker, J. B. - Frankland, J. C. 	Biol. Fertil. Soils 16: 296 - 298	United States	gut content and feeding preferences		Grassland
253	1996	Analysis of gut contents of Gomphiocephalus hodgsoni Carpenter (Collembola: Hypogastruridae) at Cape Geology, Antarctica	Davidson, M.M - Broady, P. A.	Polar Biol. 16: 463 - 467	Antarctica	gut content	in Table 1	
254	1982	Study on feeding style and eating habits of Collembola	Takeda, H.	Edaphologia. 26: 69-80 (Facultad de Agricultura y Agrimensura de la Universidad Nacional de Tokio)	Japan	gut content	in Table 1	Forest
255	1983	Interactions between social and feeding behaviour in Sinella coeca(Collembola)	Tosi, L. - Sartini, M.	Boll. Zool. 50: 189 - 195		Preference assay in the laboratory	In methodology	Laboratory
256	2014	Free-living nematodes as prey for higher trophic levels of forest soil food web	Heidemann, K. - Hennies, A. - Schakowske, J. - Blumenberg, L. - Ruess, L. Scheu, S. Maraun, M.	Oikos 123: 1199 - 1211	Germany	Gut contents moilecular analyses	Discussion	Forest
258	1998	Feeding behaviour and phylogeny: observations on early derivative acari	Walter, D. E. - Proctor, H. C.	Experimental & Applied Acarology. 22: 39 - 50	Australia	Feeding behaviour in laboratory assay		
259	2007	Zoophagy in Collembola	Chernova, N. M. - Bokova, A. I. Varshav, E. V. Goloshchapova, N. P. - Savenkova, Y. 	Entomological Review. 87(7): 799-811		Preference assay in the laboratory	Results	Laboratory
260	1982	A study on the feeding habits and gnathal appendages in oribatid mites (Acarina: Cryptostigmata)	Xavier, A. - Haq, M.A.	Zoos’ Print Journal. 22(5): 2671 - 2674	India	gut content and microscopy of mout parth	Table 1	
261	2013	A review of the ecology and distribution of protoribates (oribatida, oripodoidea, Haplozetidae) in Alberta, Canada, with the description of a new species	Walter, D.E. - S. Latonas	Zootaxa 3620(3): 483-99	Canada	Gut content		
262	2021	Stable isotopes of amino acids indicate that soil decomposer microarthropods predominantly feed on saprotrophic fungi	Pollierer, M.M. - S. Scheu	Ecosphere, Vol. 12	Germany	Isotopes de los aminoácidos	In figures and description from text	Forest
263	2019	Fungal species selection during ectomycorrhizal grazing by Collembola	LeFait, A. - J. Gailey - G. Kernaghan	Symbiosis 78(1): 87-95	Canada	feeding preference	in Metodology	Forest
264	1999	Feeding of the oribatid mite Scheloribates laevigatus (Acari: Oribatida) in laboratory experiments	Hubert, J. - V. Šustr - J. Smrž.	Pedobiologia 43(4): 328 - 339.	Czech Republic	feeding preference	in Metodology	Laboratory
265	2004	Astigmatid mite growth and fungi preference (Acari: Acaridida): Comparisons in laboratory experiments	Hubert, J. V.  - Jarošík J. - Mourek, A. - Kubátová - E. Ždárková 	Pedobiologia 48(3): 205-214. 	Czech Republic	feeding preference	in Metodology	Laboratory
266	2020	Snow microhabitats provide food resources for winter-active Collembola	Hao, C. - T.W. Chen - Y. Wu - L. Chang - D. Wu.	Soil Biology and Biochemistry. 143	China	isotopes and fatty acids	in discussion	Grassland
267	2007	Food choice of Antarctic soil arthropods clarified by stable isotope signatures	Bokhorst, S. - C. Ronfort - A. Huiskes - P. Convey - R. Aerts	Polar Biology 30(8): 983-990	Antarctica	isotopes and feeding preference	in Metodology	
268	1962	Über die Beziehungen von edaphischen Ruabmilben zur Arthropoden- und Nematodenfauna des Bodens	Karg, W.	In: H. Sachleben Eds., Bericht über die 9. Wander-versammlung Deutscher Entomologen. Dtsch. Akad. Landwirtschaftswiss., Berlin, pp. 311 - 327		laboratory assay	in Burin and Brandl 1992. Apendix	
269	1967	Binomics of Blattisocius keegani (Acarina: Ascidae), a predator on eggs of pests of stored grains. 	Barker, P. S.	Can. J. Zool. 45:1093 - 1099	Canada	laboratory assay	in Burin and Brandl 1992. Apendix	Agroecosystem
270	1989	Die bedeutung de Beute- und Wirtsbeziehungen parasitiformer Milben fur bodenbiologische Standortanalysen	Karg, W.	Pedobiologia. 33:1-15		observation	in Burin and Brandl 1992. Apendix	
271	1986	Zur Ökologie von Bodenmilben (Mesostigmata: Gamasina und Uropodina) in einem Laubwald. 	Schulz, E. 	Diploma thesis. Universit~at Göttingen, G6ttingen, Germany, 147 pp.			in Burin and Brandl 1992. Apendix	Forest
272	1962	Laboratory studies on the feeding habits and life cycles of soil-inhabiting mites.	Bhattacharyya, S. K.	Pedobiologia, 1(5), 291-298.		laboratory assay	in Burin and Brandl 1992. Apendix	
273	1987	Influence of prey type on the development and reproduction of some predatory soil mites.	Walter, D. E. - Hunt, H. W. - Elliott, E. T.	Pedobiologia. 30: 419 - 424		Feeding preference in laboratory assay	in Burin and Brandl 1992. Apendix	
274	2016	Temporal changes in fungal communities associated with guts and appendages of Collembola as based on culturing and high-througput sequencing	Anslan, E. Bahram, M. Tedersoo, L.	Soil Biology and Biochemistry 96: 152 - 159	Estonia	Molecular detection	Results	Forest
275	1995	Grazing preferences of some collembola for endomycorrhizal fungi	 Thimm, T. Larink, O.	 Biology and Fertility of Soils 19:266-268	 	 Feeding preference in laboratory assay	in Metodology and Results
276	1987	Inter- and Intraspecific feeding selectivity of Folsomia candida (Willem) (Collembola, Isotomidae) on fungi	Moore, J. C. Ingham, E.R. Coleman, D. C.	Biology and Fertility of Soils 5:6-12		laboratory assay	Metodology and Results
277	1988	Relative importance of fungi and algae in the diet and nitrogen nutrition of Orchesella cincta (L.) and Tomocerus minor (Lubbock)(Collembola)	Verhoef, H. A. Prast, J. E. Verweij, R.A.	Functional Ecology 2(2):195-201	 	Feeding preference in laboratory assay	in Metodology and Results
278	1992	Feeding preferences of the collembolan Folsomia candida in relation to microfungal successions on decaying litter	Klironomos, J. N. Widden, P. Deslandes, I.	Soil Biology and Biochemistry 24(7): 685-692		Feeding preference in laboratory assay	in Metodology and Results
