ID	year of publication	Title	Author	Published in	Country 	Main method	Extracted from	Environment
103	1972	Mites of the genus Ledermuelleria (Prostigmata: Stigmaeidae) associated with mosses in Canada.	Gerson, U.	Acarologia, 13(2), 319-343.	Canada	Observation	in Dindal (1990) Chap 21 pp 668	
104	1963	Feeding  habits  in  the  genus  Balaustium  (Acarina,  Erythraeidae),  with special reference to attacks on man.    	Newell,  I.  M.	 J. Parasitol.  49(3) :498 - 502.		Feeding behaviour in laboratory assay	in Dindal (1990) Chap 21 pp 668	agroecosystem
105	1987	Belowground  arthropods  of  semiarid  grasslands. 	Walter,  W.  E.	Integrated Pest Management on Rangeland: A Shortgrass Prairie Perspective. J.  L.  Capinera, (ed.).  pp.  271-290 Westview Press, Boulder,  Colo.	United States	Observation of behaviour	in Table 9.1, 9.2, 9.3; in Dindal (1990) Chap 21 pp 668	Grassland
108	1983	Feeding attributes of four species of Collembola in a pine forest soil. 	Takeda,  H. - Ichimura, T. 	Pedobiologia 25: 373-381.			in Faber 1991 pp. 112, 113	Forest
109	1978	Gut content analysis of the collembolan Bourletiella hortensis (Fitch) from a forest nursery.  	Marshall, V. G:	Revue d'Ecologie et de Biologie du Sol (France) 15(2): 243 - 250		Gut content		Forest
110	1979	Feeding studies on the collembolan Cryptopygus antarcticus Willem at Signy Island, South Orkney Islands.	Broady, P.A. 	Brit. Ant. Surv. Bull. 48: 37-46.	Antarctica	Gut content and observation of feeding behaviour		
111	1992	Effect of grazing by Sinella curviseta (Collembola) on Fusarium oxysporum f. sp. cucumerinum causing cucumber disease.	Nakamura, Y.  - Matsuzaki, I. - Itakura, J. 	 Pedobiologia 36:168-171.				
113	1969	Preliminary observations on the food preference of certain Collembola (Insecta). 	Singh, S.B.	Rev. Ecol. Biol. Sol 6: 461-467.		observation of the food preference		
114	1971	Acari (Acarina), Milben. Unterordnung Anactinochaeta (Parasitiformes). Die freilebenden Gamasina (Gamasides), Raubemilben. 	Karg, W.	Die Tierwelt Deutschland, 59: 1-475.		Observation	in Siepel h. (1996); in Heidemann et al. (2014) pp. 55; in Buryn and Brandl 1992.	
115	1988	Guilds or functional groups? An analysis of predatory arthropods from a shortgrass steppe soil.	Walter, D. E. - Hunt, H. W. - Elliott, E. T.	Pedobiologia. 31: 247-260			;in Siepel h. (1996); in Walter & Ikonen 1989 pp. 318	Steppe
117	1987	Fungi as constituents of gut contents in Sminthuridae and Dicyrtomidae (Collembola)	Nadtochiy, S. E.	In soil Fauna and soil Fertility (B.R. Striganova, ed) pp. 692–696, Moscow.		Gut content	in Rusek, J. (1998)	
118	1986	Dendrolaelaps sayedi, a new digamasellid mite (Acari: Gamasida) from Egypt, with notes on its biology.	Hassan, M. F. - Afifi, A. M. - Nawar, M. S.	Bulletin e la Societe Entomologique d'Egypte. 66(3): 227-235	Egypt	laboratory assay	Abstract	
119	1972	Gamasides Chiliens (Arachnides) II, Revision de la famille lchthyosromarogasreridae Scllnick 1953 (Uropodellidae Camin 1955). 	Athias - Henriot, C.	Arq. Zool. Sao Paulo 22: 113 - 119	Chile	observacion	in Krantz, G. W. & Walter D. E. (2009) pp. 65, 127	
121	1976	The mites of stored food and houses. 	Hughes, A. M.	2d ed. Min. Agr. Fish. Food Tech. Bull. 9. London: H. M. Stationery Office.			in Krantz, G. W. & Walter D. E. (2009) pp. 65	Agroecosystem
122	1979	Les Acaridae (Acari, Astigmata) d' horizonts horizons hemiedaphiques dans trente forers decidues de Belgique.	Fain, A. - G. Wauthy.	Bull. Ann. Soc. Roy. Belg. Entomol. 115:169-82	Belgium	observation	in Krantz, G. W. & Walter D. E. (2009) pp. 65	Forest
123	1965	The biology of five new species of oribatids from Louisiana. 	Woodring, J. P.	Acarologia, 7(3), 564-576.	United States	observation	in Krantz, G. W. & Walter D. E. (2009) pp. 66	
124	1961	The terrestrial Acari of the British Isles: An introduction to their morphology, biology, and classification.Vol. 1, Introduction and biology.	Evans, G. 0. - Sheals, J. G. - MacFarlane,  D.	London: British Museum (Natural History).	United Kingdom		in Krantz, G. W. & Walter D. E. (2009) pp. 66, 446	
126	1967	Ecological notes on free-living mite in North Victoria Land	Gressitt, J. L. - Shoup, J.	Entomology of Antartica. LLano, G. A. (Ed.). Antarcic Research Series Vol. 10. pp. 307 - 320	Antarctica	observation in laboratory assay	in Table 1;in Krantz, G. W. & Walter D. E. (2009) pp. 66; in Walter 1988 pp. 159	
127	1982	Feeding biology of free-living acari at Signy Island, South Orkney Islands	Goddard, D. G.	British Antarctic Survey Bulletin. 51: 290-293.	Antarctica	observation in laboratory assay	in Krantz, G. W. & Walter D. E. (2009) pp. 66, 67	
128	1993	A synonymic catalogue of the Acari from Antarctica, the sub-Antarctic Islands and the Southern Ocean. 	Pugh, P. J. A.	Journal of Natural History, 27(2), 323-421.	Antarctica	observation of feeding behavior in laboratory	in Krantz, G. W. & Walter D. E. (2009) pp. 66	
129	1997	Ernaehrungs-und fortpflanzungsbiologische studien an der milbenfamilie Nanorchestidae (Acari, Trombidiformes).	Schuster, R. - Schuster, I. J.	Zoologischer Anzeiger 199: 89-94			in Krantz, G. W. & Walter D. E. (2009) pp. 66	
