ID;CLASE;SUBCLASE;SUPERORDER;ORDER;SUBORDER;SUPERCOHORT;COHORT;SUBCOHORT;SUPERFAMILY;FAMILY;GENERA;SPECIE;G_SP;RESOURCE;METHOD;TAXONOMIC_LEVEL;Cita
2600;Arachnida;Acari;Parasitiformes;Mesostigmata;Monogynaspida;;Gamasina;Parasitiae;Parasitoidea;Parasitidae;Pergamasus;micellus;Pergamasus micellus;coll.;assay;SPECIE;217
2601;Arachnida;Acari;Parasitiformes;Mesostigmata;Monogynaspida;;Gamasina;;Rhodacaroidea;Ologamasidae;Gamasellus;racovitzai;Gamasellus racovitzai;mites;assay;SPECIE;218
2602;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Brachypylina;;Carabodoidea;Carabodidae;Carabodes;labyrinthicus;Carabodes labyrinthicus;plant;isotopes;SPECIE;233
2603;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Brachypylina;;Phenopelopoidea;Phenopelopidae;Eupelops;torulosus;Eupelops torulosus;plant;isotopes;SPECIE;233
2604;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Brachypylina;;Phenopelopoidea;Phenopelopidae;Eupelops;acromius;Eupelops acromius;plant;isotopes;SPECIE;233
2605;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Brachypylina;;Achipterioidea;Achipteriidae;Parachipteria;willmanni;Parachipteria willmanni;plant;isotopes;SPECIE;233
2606;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Brachypylina;;Gustavioidea;Liacaridae;Dorycranosus;acutus;Dorycranosus acutus;plant;isotopes;SPECIE;233
2607;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Brachypylina;;Ceratozetoidea;Euzetidae;Euzetes;globosus;Euzetes globosus;plant;isotopes;SPECIE;233
2608;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Brachypylina;;Hermannielloidea;Hermanniellidae;Hermannia;gibba;Hermannia gibba;plant;isotopes;SPECIE;233
2609;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Brachypylina;;Carabodoidea;Carabodidae;Carabodes;marginatus;Carabodes marginatus;plant;isotopes;SPECIE;233
2610;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Brachypylina;;Gustavioidea;Liacaridae;Liacarus;coracinus;Liacarus coracinus;plant;isotopes;SPECIE;233
2611;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Brachypylina;;Oribatelloidea;Oribatellidae;Oribatella;calcarata;Oribatella calcarata;plant;isotopes;SPECIE;233
2612;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Brachypylina;;Phenopelopoidea;Phenopelopidae;Eupelops;torulosus;Eupelops torulosus;litter;isotopes;SPECIE;233
2613;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Brachypylina;;Phenopelopoidea;Phenopelopidae;Eupelops;acromius;Eupelops acromius;litter;isotopes;SPECIE;233
2614;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Brachypylina;;Achipterioidea;Achipteriidae;Parachipteria;willmanni;Parachipteria willmanni;litter;isotopes;SPECIE;233
2615;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Brachypylina;;Gustavioidea;Liacaridae;Dorycranosus;acutus;Dorycranosus acutus;litter;isotopes;SPECIE;233
2616;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Brachypylina;;Ceratozetoidea;Euzetidae;Euzetes;globosus;Euzetes globosus;litter;isotopes;SPECIE;233
2617;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Brachypylina;;Hermannielloidea;Hermanniellidae;Hermannia;gibba;Hermannia gibba;litter;isotopes;SPECIE;233
2618;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Brachypylina;;Carabodoidea;Carabodidae;Carabodes;marginatus;Carabodes marginatus;litter;isotopes;SPECIE;233
2619;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Brachypylina;;Gustavioidea;Liacaridae;Liacarus;coracinus;Liacarus coracinus;litter;isotopes;SPECIE;233
